player_id,player_name,season,completions_total,attempts_total,passing_yards_total,passing_tds_total,interceptions_total,sacks_total,sack_yards_total,passing_air_yards_total,passing_yards_after_catch_total,passing_first_downs_total,carries_total,rushing_yards_total,rushing_tds_total,rushing_fumbles_total,rushing_first_downs_total,receptions_total,targets_total,receiving_yards_total,receiving_tds_total,receiving_air_yards_total,receiving_yards_after_catch_total,receiving_first_downs_total,fantasy_points_total,fantasy_points_ppr_total,games_played,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,sacks_avg,sack_yards_avg,passing_air_yards_avg,passing_yards_after_catch_avg,passing_first_downs_avg,passing_epa_avg,pacr_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,rushing_fumbles_avg,rushing_first_downs_avg,rushing_epa_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,receiving_yards_after_catch_avg,receiving_first_downs_avg,receiving_2pt_conversions_avg,racr_avg,target_share_avg,air_yards_share_avg,wopr_avg,fantasy_points_avg,fantasy_points_ppr_avg,position,green_zone_carries,HVTs,avg_pass_epa_deep_left,avg_pass_epa_deep_middle,avg_pass_epa_deep_right,avg_pass_epa_short_left,avg_pass_epa_short_middle,avg_pass_epa_short_right,avg_rec_epa_rec_deep_left,avg_rec_epa_rec_deep_middle,avg_rec_epa_rec_deep_right,avg_rec_epa_rec_short_left,avg_rec_epa_rec_short_middle,avg_rec_epa_rec_short_right,pct_targets_rec_deep_left,pct_targets_rec_deep_middle,pct_targets_rec_deep_right,pct_targets_rec_short_left,pct_targets_rec_short_middle,pct_targets_rec_short_right,total_tackled_for_loss,total_rb_carries,pct_carries_tackled_for_loss,routes,yprr,down_1_position,down_1_team,down_1_attempts,down_1_completions,down_1_passing_yards,down_1_passing_first_downs,down_1_carries,down_1_rushing_yards,down_1_rushing_first_downs,down_1_targets,down_1_receptions,down_1_receiving_yards,down_1_receiving_first_downs,down_1_team_carries_in_played_games,down_1_team_targets_in_played_games,down_1_team_receptions_in_played_games,down_1_team_rush_fd_in_played_games,down_1_team_rec_fd_in_played_games,down_1_games_played,down_1_team_carries_all_games,down_1_team_targets_all_games,down_1_team_receptions_all_games,down_1_yards_per_pass_attempt,down_1_yards_per_completion,down_1_yards_per_carry,down_1_yards_per_target,down_1_yards_per_reception,down_1_pass_attempts_per_game,down_1_completions_per_game,down_1_passing_yards_per_game,down_1_passing_first_downs_per_game,down_1_carries_per_game,down_1_rushing_yards_per_game,down_1_rushing_first_downs_per_game,down_1_targets_per_game,down_1_receptions_per_game,down_1_receiving_yards_per_game,down_3_position,down_3_team,down_3_attempts,down_3_completions,down_3_passing_yards,down_3_passing_first_downs,down_3_carries,down_3_rushing_yards,down_3_rushing_first_downs,down_3_targets,down_3_receptions,down_3_receiving_yards,down_3_receiving_first_downs,down_3_team_carries_in_played_games,down_3_team_targets_in_played_games,down_3_team_receptions_in_played_games,down_3_team_rush_fd_in_played_games,down_3_team_rec_fd_in_played_games,down_3_games_played,down_3_team_carries_all_games,down_3_team_targets_all_games,down_3_team_receptions_all_games,down_3_yards_per_pass_attempt,down_3_yards_per_completion,down_3_yards_per_carry,down_3_yards_per_target,down_3_yards_per_reception,down_3_pass_attempts_per_game,down_3_completions_per_game,down_3_passing_yards_per_game,down_3_passing_first_downs_per_game,down_3_carries_per_game,down_3_rushing_yards_per_game,down_3_rushing_first_downs_per_game,down_3_targets_per_game,down_3_receptions_per_game,down_3_receiving_yards_per_game,routes_per_game,TPRR,firstDPRR
00-0022943,Benjamin Watson,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,79,522,4,416,263,30,76.2,137.2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.812,4.938,32.625,0.25,26,16.438,1.875,0,1.863,0.135,0.106,0.277,4.763,8.575,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,1.25,TE,BAL,0,0,0,0,0,0,0,29,22,242,11,210,197,119,30,47,14,245,215,132,0,0,0,8.345,11,0,0,0,0,0,NA,0,2.071,1.571,17.286,TE,BAL,0,0,0,0,0,0,0,15,10,71,7,28,128,65,12,38,11,47,177,91,0,0,0,4.733,7.1,0,0,0,0,0,NA,0,1.364,0.909,6.455,26.062,0.189,0.072
00-0022999,John Kuhn,2017,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0.2,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0023436,Alex Smith,2017,341,505,4042,26,5,35,207,3877,1964,184,60,355,1,2,19,0,0,0,0,0,0,0,295.18,295.18,15,22.733,33.667,269.467,1.733,0.333,2.333,13.8,258.467,130.933,12.267,6.136,1.153,4,23.667,0.067,0.133,1.267,0.649,0,0,0,0,0,0,0,0,0,0,0,0,19.679,19.679,QB,3,NA,0.845,1.137,1.299,0.188,0.118,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,KC,202,132,1711,70,27,121,4,0,0,0,0,216,202,132,30,70,15,228,222,144,8.47,12.962,4.481,0,0,13.467,8.8,114.067,4.667,1.8,4.481,0.267,0,0,0,QB,KC,146,77,964,49,19,73,10,0,0,0,0,43,146,77,25,49,15,45,155,82,6.603,12.519,3.842,0,0,9.733,5.133,64.267,3.267,1.267,3.842,0.667,0,0,0,NA,NA,NA
00-0023459,Aaron Rodgers,2017,154,238,1675,16,6,22,168,1643,870,85,24,126,0,0,10,0,0,0,0,0,0,0,129.6,129.6,7,22,34,239.286,2.286,0.857,3.143,24,234.714,124.286,12.143,3.357,0.962,3.429,18,0,0,1.429,0.666,0,0,0,0,0,0,0,0,0,0,0,0,18.514,18.514,QB,1,NA,0.299,1.528,0.566,0.08,0.353,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,GB,105,72,733,30,10,43,2,0,0,0,0,80,119,82,9,34,7,194,236,152,6.981,10.181,4.3,0,0,15,10.286,104.714,4.286,1.429,4.3,0.286,0,0,0,QB,GB,60,26,366,23,7,50,5,0,0,0,0,18,74,31,12,27,7,48,163,77,6.1,14.077,7.143,0,0,8.571,3.714,52.286,3.286,1,7.143,0.714,0,0,0,NA,NA,NA
00-0023500,Frank Gore,2017,0,0,0,0,0,0,0,0,0,0,261,961,3,3,49,29,38,245,1,-26,275,9,144.6,173.6,16,0,0,0,0,0,0,0,0,0,0,0,0,16.312,60.062,0.188,0.188,3.062,-1.5,1.812,2.375,15.312,0.062,-1.625,17.188,0.562,0,0.355,0.081,-0.008,0.116,9.037,10.85,RB,5,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,261,0.1,198,1.24,RB,IND,0,0,0,0,146,561,12,14,12,75,3,238,177,89,25,38,16,238,177,89,0,0,3.842,5.357,6.25,0,0,0,0,9.125,3.842,0.75,0.875,0.75,4.688,RB,IND,0,0,0,0,22,79,14,7,6,60,3,50,111,56,24,39,11,61,167,80,0,0,3.591,8.571,10,0,0,0,0,2,3.591,1.273,0.636,0.545,5.455,12.375,0.192,0.045
00-0023564,Darren Sproles,2017,0,0,0,0,0,0,0,0,0,0,15,61,0,0,4,7,12,73,0,-13,83,3,13.4,20.4,3,0,0,0,0,0,0,0,0,0,0,0,0,5,20.333,0,0,1.333,-0.72,2.333,4,24.333,0,-4.333,27.667,1,0,1.863,0.1,-0.006,0.145,4.467,6.8,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,0.133,60,1.22,RB,PHI,0,0,0,0,8,48,3,4,4,36,2,44,53,30,8,15,3,226,249,140,0,0,6,9,9,0,0,0,0,2.667,6,1,1.333,1.333,12,RB,PHI,0,0,0,0,0,0,0,1,0,0,0,2,12,9,0,8,1,62,168,97,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,20,0.2,0.05
00-0023645,Derek Anderson,2017,2,8,17,0,0,0,0,92,6,1,2,-2,0,0,0,0,0,0,0,0,0,0,0.48,0.48,3,0.667,2.667,5.667,0,0,0,0,30.667,2,0.333,-1.398,0.067,0.667,-0.667,0,0,0,-1.238,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,QB,NA,NA,-0.202,0,-0.347,-0.539,0,-0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,CAR,3,1,9,0,1,-1,0,0,0,0,0,30,31,21,9,8,2,249,204,124,3,9,-1,0,0,1.5,0.5,4.5,0,0.5,-1,0,0,0,0,QB,CAR,3,1,8,1,0,0,0,0,0,0,0,8,19,7,7,4,2,54,168,81,2.667,8,0,0,0,1.5,0.5,4,0.5,0,NA,0,0,0,0,NA,NA,NA
00-0023662,Matt Cassel,2017,25,42,162,1,2,8,30,332,44,10,0,0,0,0,0,0,0,0,0,0,0,0,2.48,2.48,2,12.5,21,81,0.5,1,4,15,166,22,5,-19.103,0.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,1.24,QB,NA,NA,-2.647,-1.165,-0.403,-0.023,-1.787,-0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,TEN,20,12,80,3,0,0,0,0,0,0,0,20,27,17,4,7,2,226,213,128,4,6.667,0,0,0,10,6,40,1.5,0,NA,0,0,0,0,QB,TEN,17,7,42,3,0,0,0,0,0,0,0,2,19,7,1,3,2,35,167,85,2.471,6,0,0,0,8.5,3.5,21,1.5,0,NA,0,0,0,0,NA,NA,NA
00-0023682,Ryan Fitzpatrick,2017,96,163,1103,7,3,7,34,1479,385,63,15,78,0,0,5,0,0,0,0,0,0,0,73.92,73.92,6,16,27.167,183.833,1.167,0.5,1.167,5.667,246.5,64.167,10.5,1.494,0.616,2.5,13,0,0,0.833,0.572,0,0,0,0,0,0,0,0,0,0,0,0,12.32,12.32,QB,2,NA,-0.804,0.089,1.015,0.188,0.094,-0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,TB,60,38,473,22,6,25,1,0,0,0,0,73,67,40,5,23,5,236,247,157,7.883,12.447,4.167,0,0,12,7.6,94.6,4.4,1.2,4.167,0.2,0,0,0,QB,TB,48,24,217,18,5,30,2,0,0,0,0,15,67,35,7,26,6,32,164,88,4.521,9.042,6,0,0,8,4,36.167,3,0.833,6,0.333,0,0,0,NA,NA,NA
00-0023742,Jon Ryan,2017,1,1,-4,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16,-0.16,1,1,1,-4,0,0,0,0,-4,0,0,-2.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16,-0.16,P,NA,NA,0,0,0,0,-2.359,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00-0024221,Vernon Davis,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,69,648,3,746,306,23,78.8,121.8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.688,4.312,40.5,0.188,46.625,19.125,1.438,0,0.934,0.132,0.172,0.318,4.925,7.612,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,1.67,TE,WAS,0,0,0,0,0,0,0,24,13,250,7,201,146,93,14,45,13,248,176,109,0,0,0,10.417,19.231,0,0,0,0,0,NA,0,1.846,1,19.231,TE,WAS,0,0,0,0,0,0,0,18,13,176,8,20,95,53,5,34,9,33,171,91,0,0,0,9.778,13.538,0,0,0,0,0,NA,0,2,1.444,19.556,24.312,0.177,0.059
00-0024226,Jay Cutler,2017,266,429,2666,19,14,20,154,3530,1191,134,19,32,0,2,3,0,0,0,0,0,0,0,157.84,157.84,14,19,30.643,190.429,1.357,1,1.429,11,252.143,85.071,9.571,-1.711,0.786,1.357,2.286,0,0.143,0.214,-0.264,0,0,0,0,0,0,0,0,0,0,0,0,11.274,11.274,QB,NA,NA,-0.128,0.681,-0.036,-0.009,-0.174,-0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,MIA,180,111,1157,48,11,6,1,0,0,0,0,156,203,126,14,57,13,187,255,161,6.428,10.423,0.545,0,0,13.846,8.538,89,3.692,0.846,0.545,0.077,0,0,0,QB,MIA,122,63,634,33,2,6,1,0,0,0,0,29,147,75,14,44,14,34,168,85,5.197,10.063,3,0,0,8.714,4.5,45.286,2.357,0.143,3,0.071,0,0,0,NA,NA,NA
00-0024243,Marcedes Lewis,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,48,318,5,384,163,18,63.8,87.8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,19.875,0.312,24,10.188,1.125,0.062,1.213,0.096,0.098,0.213,3.988,5.487,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,0.84,TE,JAX,0,0,0,0,0,0,0,19,11,135,7,239,155,93,22,49,13,285,190,120,0,0,0,7.105,12.273,0,0,0,0,0,NA,0,1.462,0.846,10.385,TE,JAX,0,0,0,0,0,0,0,12,5,46,4,16,100,53,8,40,8,50,178,93,0,0,0,3.833,9.2,0,0,0,0,0,NA,0,1.5,0.625,5.75,23.562,0.127,0.048
